,alias,annotation.DB_Object_Name,annotation.GO BIOLOGICAL_PROCESS,annotation.GO CELLULAR_COMPONENT,annotation.GO MOLECULAR_FUNCTION,label,kegg,uniprot,sgd,entrez
YBR160W,"CDC28, CDK1, HSL5, S000000364, SRM5, cyclin-dependent protein kinase",cyclin-dependent protein kinase,"G1/S transition of mitotic cell cycle, G2/M transition of mitotic cell cycle, S phase of mitotic cell cycle, protein amino acid phosphorylation, regulation of meiosis, regulation of progression through cell cycle, transcription","cytoplasm, nucleus",cyclin-dependent protein kinase activity,CDK1,sce:YBR160W,CDK1_YEAST,S000000364,852457
YBR170C,"HRD4, NPL4, S000000374",,ER-associated protein catabolic process,"endoplasmic reticulum, nuclear envelope-endoplasmic reticulum network",molecular_function,NPL4,sce:YBR170C,NPL4_YEAST,S000000374,852468
YBR217W,"APG12, ATG12, S000000421",,"autophagy, protein targeting to vacuole",membrane fraction,protein tag,ATG12,sce:YBR217W,ATG12_YEAST,S000000421,852518
YBR248C,"HIS7, S000000452, imidazole glycerol phosphate synthase",imidazole glycerol phosphate synthase,"histidine biosynthetic process, purine nucleoside monophosphate biosynthetic process",intracellular,imidazoleglycerol-phosphate synthase activity,HIS5,sce:YBR248C,HIS5_YEAST,S000000452,852550
YBR274W,"CHK1, S000000478, protein kinase",protein kinase,"DNA damage checkpoint, protein amino acid phosphorylation",nucleus,protein kinase activity,CHK1,sce:YBR274W,CHK1_YEAST,S000000478,852577
YCL030C,"HIS4, S000000535, histidinol dehydrogenase",histidinol dehydrogenase,histidine biosynthetic process,intracellular,"histidinol dehydrogenase activity, phosphoribosyl-AMP cyclohydrolase activity, phosphoribosyl-ATP diphosphatase activity",HIS2,sce:YCL030C,HIS2_YEAST,S000000535,850327
YCL032W,"S000000537, STE50, protein kinase regulator",protein kinase regulator,"MAPKKK cascade during osmolarity sensing, pheromone-dependent signal transduction during conjugation with cellular fusion, response to pheromone, signal transduction during filamentous growth",cytoplasm,"SAM domain binding, protein kinase regulator activity",STE50,sce:YCL032W,STE50_YEAST,S000000537,850325
YCL040W,"GLK1, HOR3, S000000545, glucokinase",glucokinase,"glucose import, glucose metabolic process, glycolysis, mannose metabolic process",cytosol,glucokinase activity,HXKG,sce:YCL040W,HXKG_YEAST,S000000545,850317
YCL067C,"ALPHA2, HMLALPHA2, S000000572",,"donor selection, regulation of transcription from RNA polymerase II promoter, regulation of transcription, mating-type specific",nucleus,transcription corepressor activity,HMAL2,sce:YCL067C,HMAL2_YEAST,S000000572,850292
YCL067C,"ALPHA2, HMLALPHA2, S000000572",,"donor selection, regulation of transcription from RNA polymerase II promoter, regulation of transcription, mating-type specific",nucleus,transcription corepressor activity,HMAL2,sce:YCL067C,HMAL2_YEAST,S000000572,850406
YCL067C,"ALPHA2, HMLALPHA2, S000000572",,"donor selection, regulation of transcription from RNA polymerase II promoter, regulation of transcription, mating-type specific",nucleus,transcription corepressor activity,MTAL2,sce:YCL067C,MTAL2_YEAST,S000000635,850292
YCL067C,"ALPHA2, HMLALPHA2, S000000572",,"donor selection, regulation of transcription from RNA polymerase II promoter, regulation of transcription, mating-type specific",nucleus,transcription corepressor activity,MTAL2,sce:YCL067C,MTAL2_YEAST,S000000635,850406
YCR012W,"3-phosphoglycerate kinase, PGK1, S000000605",3-phosphoglycerate kinase,"gluconeogenesis, glycolysis","cytoplasm, mitochondrion",phosphoglycerate kinase activity,PGK,sce:YCR012W,PGK_YEAST,S000000605,850370
YCR084C,"AAR1, AER2, AMM1, CRT4, CYC9, FLK1, ROX4, S000000680, SFL2, TUP1, UMR7",,"negative regulation of transcription, nucleosome spacing",nucleus,general transcriptional repressor activity,TUP1,sce:YCR084C,TUP1_YEAST,S000000680,850445
YCR086W,"CSM1, S000000682",,"DNA replication, homologous chromosome segregation, meiotic chromosome segregation, telomere maintenance","condensed nuclear chromosome kinetochore, nuclear envelope, nucleolus",molecular_function,CSM1,sce:YCR086W,CSM1_YEAST,S000000682,850447
YDL013W,"HEX3, S000002171, SLX5",,"protein sumoylation, response to DNA damage stimulus, telomere maintenance",cellular_component,molecular_function,SLX5,sce:YDL013W,SLX5_YEAST,S000002171,851549
YDL014W,"LOT3, NOP1, S000002172, U3 snoRNP protein",U3 snoRNP protein,"35S primary transcript processing, RNA methylation, processing of 20S pre-rRNA, rRNA modification, ribosomal large subunit assembly and maintenance, snoRNA 3'-end processing","nucleolus, small nucleolar ribonucleoprotein complex",methyltransferase activity,FBRL,sce:YDL014W,FBRL_YEAST,S000002172,851548
YDL030W,"PRP9, RNA splicing factor, S000002188",RNA splicing factor,"nuclear mRNA splicing, via spliceosome",snRNP U2,RNA binding,PRP9,sce:YDL030W,PRP9_YEAST,S000002188,851531
YDL063C,S000002221,,,"cytoplasm, nucleus",molecular_function,SYO1,sce:YDL063C,SYO1_YEAST,S000002221,851497
YDL075W,"RPL31A, RPL34, S000002233, ribosomal protein L31A (L34A) (YL28)",ribosomal protein L31A (L34A) (YL28),,cytosolic large ribosomal subunit (sensu the Eukaryota research community),structural constituent of ribosome,RL31A,sce:YDL075W,RL31A_YEAST,S000002233,851484
YDL078C,"MDH3, S000002236, malate dehydrogenase",malate dehydrogenase,"NADH regeneration, fatty acid beta-oxidation, glyoxylate cycle, malate metabolic process","peroxisomal matrix, peroxisome",L-malate dehydrogenase activity,MDHP,sce:YDL078C,MDHP_YEAST,S000002236,851481
YDL081C,"RPLA1, RPP1A, S000002239, acidic ribosomal protein P1A (YP1alpha) (A1)",acidic ribosomal protein P1A (YP1alpha) (A1),"telomere maintenance, translational elongation",cytosolic large ribosomal subunit (sensu the Eukaryota research community),structural constituent of ribosome,RLA1,sce:YDL081C,RLA1_YEAST,S000002239,851478
YDL088C,"ASM4, NUP59, S000002246, nuclear pore complex subunit",nuclear pore complex subunit,"NLS-bearing substrate import into nucleus, mRNA export from nucleus, mRNA-binding (hnRNP) protein import into nucleus, nuclear pore organization and biogenesis, protein export from nucleus, protein import into nucleus, docking, rRNA export from nucleus, ribosomal protein import into nucleus, snRNA export from nucleus, snRNP protein import into nucleus",nuclear pore,structural molecule activity,NUP59,sce:YDL088C,NUP59_YEAST,S000002246,851470
YDL113C,"ATG20, CVT20, S000002271, SNX42",,"autophagy, protein targeting to vacuole, retrograde transport, endosome to Golgi","endosome, peripheral to membrane of membrane fraction, pre-autophagosomal structure","lipid binding, phosphatidylinositol 3-phosphate binding",ATG20,sce:YDL113C,ATG20_YEAST,S000002271,851445
YDL130W,"RPL44', RPLA3, RPP1B, S000002288, ribosomal protein P1B (L44') (YP1beta) (Ax)",ribosomal protein P1B (L44') (YP1beta) (Ax),translational elongation,cytosolic large ribosomal subunit (sensu the Eukaryota research community),structural constituent of ribosome,RLA3,sce:YDL130W,RLA3_YEAST,S000002288,851427
YDL194W,"S000002353, SNF3, glucose sensor",glucose sensor,"response to glucose stimulus, signal transduction",plasma membrane,"glucose binding, glucose transporter activity, receptor activity",SNF3,sce:YDL194W,SNF3_YEAST,S000002353,851333
YDL215C,"GDH-B, GDH2, GDHB, NAD-dependent glutamate dehydrogenase, S000002374",NAD-dependent glutamate dehydrogenase,nitrogen compound metabolic process,"mitochondrion, soluble fraction",glutamate dehydrogenase activity,DHE2,sce:YDL215C,DHE2_YEAST,S000002374,851311
YDL236W,"PHO13, S000002395, p-nitrophenyl phosphatase",p-nitrophenyl phosphatase,"histone dephosphorylation, protein amino acid dephosphorylation","cytoplasm, nucleus","4-nitrophenylphosphatase activity, alkaline phosphatase activity",PNPP,sce:YDL236W,PNPP_YEAST,S000002395,851362
YDR009W,"GAL3, S000002416",,"galactose metabolic process, positive regulation of transcription by galactose",cytoplasm,transcriptional activator activity,GAL3,sce:YDR009W,GAL3_YEAST,S000002416,851572
YDR032C,"PST2, S000002439",,biological_process,"cytoplasm, mitochondrion",molecular_function,PST2,sce:YDR032C,PST2_YEAST,S000002439,851596
YDR050C,"S000002457, TPI1, triosephosphate isomerase",triosephosphate isomerase,glycolysis,cytoplasm,triose-phosphate isomerase activity,TPIS,sce:YDR050C,TPIS_YEAST,S000002457,851620
YDR070C,S000002477,,biological_process,mitochondrion,molecular_function,FMP16,sce:YDR070C,FMP16_YEAST,S000002477,851642
YDR100W,"S000002507, TVP15",,biological_process,"COPI-coated vesicle, integral to Golgi membrane",molecular_function,TVP15,sce:YDR100W,TVP15_YEAST,S000002507,851677
YDR103W,"HMD3, NUL3, S000002510, STE5",,"invasive growth (sensu the Saccharomyces research community), pheromone-dependent signal transduction during conjugation with cellular fusion","cytoplasm, mating projection tip, nucleus, plasma membrane",MAP-kinase scaffold activity,STE5,sce:YDR103W,STE5_YEAST,S000002510,851680
YDR142C,"PAS7, PEB1, PEX7, S000002549",,"peroxisome organization and biogenesis, protein targeting to peroxisome","cytosol, peroxisomal matrix","peroxisome targeting sequence binding, peroxisome targeting signal-2 binding",PEX7,sce:YDR142C,PEX7_YEAST,S000002549,851720
YDR146C,"S000002553, SWI5, transcriptional activator",transcriptional activator,G1-specific transcription in mitotic cell cycle,"cytoplasm, nucleus",transcriptional activator activity,SWI5,sce:YDR146C,SWI5_YEAST,S000002553,851724
YDR167W,"TafII25, S000002574, TAF10, TAF23, TAF25, TFIID subunit","TFIID subunit, TafII25","G1-specific transcription in mitotic cell cycle, chromatin modification, establishment and/or maintenance of chromatin architecture, histone acetylation, protein amino acid acetylation, transcription initiation from RNA polymerase II promoter","SAGA complex, SLIK (SAGA-like) complex, transcription factor TFIID complex",general RNA polymerase II transcription factor activity,TAF10,sce:YDR167W,TAF10_YEAST,S000002574,851745
YDR171W,"HSP42, S000002578",,"cytoskeleton organization and biogenesis, response to stress","chaperonin-containing T-complex, cytoplasm, cytoskeleton",unfolded protein binding,HSP42,sce:YDR171W,HSP42_YEAST,S000002578,851751
YDR174W,"HMO1, HSM2, S000002581",,"plasmid maintenance, telomere maintenance","cytoplasm, nuclear chromatin, nucleolus, nucleus","RNA polymerase I transcription factor activity, single-stranded DNA binding",HMO1,sce:YDR174W,HMO1_YEAST,S000002581,851754
YDR184C,"ATC1, LIC4, S000002592",,"bipolar bud site selection, response to stress, telomere maintenance",nucleus,molecular_function,LIC4,sce:YDR184C,LIC4_YEAST,S000002592,851765
YDR244W,"PAS10, PEX5, S000002652, peroxin",peroxin,"peroxisome organization and biogenesis, protein targeting to peroxisome","cytosol, peroxisome","peroxisome targeting sequence binding, peroxisome targeting signal-1 binding",PEX5,sce:YDR244W,PEX5_YEAST,S000002652,851831
YDR277C,"BPC1, DGT1, HTR1, MTH1, S000002685",,"glucose transport, signal transduction",cellular_component,molecular_function,MTH1,sce:YDR277C,MTH1_YEAST,S000002685,851870
YDR299W,"BFR2, S000002707",,ER to Golgi vesicle-mediated transport,nucleolus,molecular_function,BFR2,sce:YDR299W,BFR2_YEAST,S000002707,851893
YDR309C,"GIC2, S000002717",,"Rho protein signal transduction, axial bud site selection, establishment of cell polarity (sensu the Fungi research community), regulation of exit from mitosis","actin cap, bud tip, incipient bud site, mating projection tip",small GTPase regulator activity,GIC2,sce:YDR309C,GIC2_YEAST,S000002717,851904
YDR311W,"75 kDa subunit component, S000002719, TFB1, transcription initiation factor IIb","transcription initiation factor IIb, 75 kDa subunit component","negative regulation of transcription from RNA polymerase II promoter, mitotic, nucleotide-excision repair, nucleotide-excision repair, DNA duplex unwinding, transcription initiation from RNA polymerase II promoter","nucleotide-excision repair factor 3 complex, transcription factor TFIIH complex",general RNA polymerase II transcription factor activity,TFB1,sce:YDR311W,TFB1_YEAST,S000002719,851906
YDR323C,"PEP7, S000002731, VAC1, VPL21, VPS19, VPT19",,"Golgi to vacuole transport, vesicle docking during exocytosis, vesicle fusion","cytoplasm, external side of endosome membrane",molecular_function,PEP7,sce:YDR323C,PEP7_YEAST,S000002731,851923
YDR335W,"KAP142, MSN5, S000002743, STE21",,protein export from nucleus,nucleus,"importin-alpha export receptor activity, protein binding",MSN5,sce:YDR335W,MSN5_YEAST,S000002743,851935
YDR354W,"S000002762, TRP4, anthranilate phosphoribosyl transferase",anthranilate phosphoribosyl transferase,tryptophan biosynthetic process,"cytoplasm, nucleus",anthranilate phosphoribosyltransferase activity,TRPD,sce:YDR354W,TRPD_YEAST,S000002762,851956
YDR382W,"RPL45, RPP2B, S000002790, YPA1, ribosomal protein P2B (YP2beta) (L45)",ribosomal protein P2B (YP2beta) (L45),translational elongation,cytosolic large ribosomal subunit (sensu the Eukaryota research community),structural constituent of ribosome,RLA4,sce:YDR382W,RLA4_YEAST,S000002790,851990
YDR395W,"KAP108, S000002803, SXM1",,"mRNA export from nucleus, nucleocytoplasmic transport",nucleus,protein carrier activity,SXM1,sce:YDR395W,SXM1_YEAST,S000002803,852004
YDR412W,S000002820,,rRNA processing,cytoplasm,molecular_function,RRP17,sce:YDR412W,RRP17_YEAST,S000002820,852021
YDR429C,"S000002837, TIF35, translation initiation factor eIF3 subunit",translation initiation factor eIF3 subunit,translational initiation,eukaryotic translation initiation factor 3 complex,translation initiation factor activity,EIF3G,sce:YDR429C,EIF3G_YEAST,S000002837,852039
YDR461W,"MFA1, S000002869, a-factor mating pheromone precursor",a-factor mating pheromone precursor,pheromone-dependent signal transduction during conjugation with cellular fusion,"extracellular region, soluble fraction",mating pheromone activity,MFA1,sce:YDR461W,MFA1_YEAST,S000002869,852072
YEL009C,"AAS3, ARG9, GCN4, S000000735, transcriptional activator of amino acid biosynthetic genes",transcriptional activator of amino acid biosynthetic genes,"amino acid biosynthetic process, regulation of transcription from RNA polymerase II promoter, unfolded protein response, positive regulation of target gene transcription",nucleus,"DNA binding, transcription factor activity",GCN4,sce:YEL009C,GCN4_YEAST,S000000735,856709
YEL015W,"DCP3, EDC3, LSM16, S000000741",,deadenylation-independent decapping,cytoplasmic mRNA processing body,molecular_function,EDC3,sce:YEL015W,EDC3_YEAST,S000000741,856700
YEL039C,"CYC7, S000000765, iso-2-cytochrome c",iso-2-cytochrome c,electron transport,"mitochondrial intermembrane space, mitochondrion",electron carrier activity,CYC7,sce:YEL039C,CYC7_YEAST,S000000765,856672
YEL041W,"S000000767, YEF1",,NADP biosynthetic process,cellular_component,"NAD+ kinase activity, NADH kinase activity",YEF1,sce:YEL041W,YEF1_YEAST,S000000767,856670
YER040W,"GLN3, S000000842, transcriptional activator of nitrogen-regulated genes",transcriptional activator of nitrogen-regulated genes,"nitrogen compound metabolic process, positive regulation of transcription, positive regulation of transcription from RNA polymerase II promoter, regulation of nitrogen utilization","cytosol, nucleus","transcription factor activity, transcriptional activator activity",GLN3,sce:YER040W,GLN3_YEAST,S000000842,856763
YER052C,"BOR1, HOM3, S000000854, SIL4, aspartate kinase (L-aspartate 4-P-transferase) (EC 2.7.2.4)",aspartate kinase (L-aspartate 4-P-transferase) (EC 2.7.2.4),"homoserine biosynthetic process, methionine metabolic process, threonine metabolic process",cytoplasm,aspartate kinase activity,AK,sce:YER052C,AK_YEAST,S000000854,856778
YER054C,"GIP2, S000000856",,"glycogen metabolic process, protein amino acid dephosphorylation",protein phosphatase type 1 complex,protein phosphatase regulator activity,GIP2,sce:YER054C,GIP2_YEAST,S000000856,856781
YER062C,"GPP2, HOR2, S000000864",,"carbohydrate metabolic process, glycerol biosynthetic process, response to osmotic stress","cytoplasm, nucleus",glycerol-1-phosphatase activity,GPP2,sce:YER062C,GPP2_YEAST,S000000864,856791
YER065C,"ICL1, S000000867, isocitrate lyase",isocitrate lyase,glyoxylate cycle,cellular_component,isocitrate lyase activity,ACEA,sce:YER065C,ACEA_YEAST,S000000867,856794
YER074W,"RPS24A, RPS24EA, S000000876, ribosomal protein S24A",ribosomal protein S24A,,"cytosolic small ribosomal subunit (sensu the Eukaryota research community), mitochondrion",structural constituent of ribosome,RS24A,sce:YER074W,RS24A_YEAST,S000000876,854741
YER074W,"RPS24A, RPS24EA, S000000876, ribosomal protein S24A",ribosomal protein S24A,,"cytosolic small ribosomal subunit (sensu the Eukaryota research community), mitochondrion",structural constituent of ribosome,RS24A,sce:YER074W,RS24A_YEAST,S000000876,856805
YER074W,"RPS24A, RPS24EA, S000000876, ribosomal protein S24A",ribosomal protein S24A,,"cytosolic small ribosomal subunit (sensu the Eukaryota research community), mitochondrion",structural constituent of ribosome,RS24B,sce:YER074W,RS24B_YEAST,S000001331,854741
YER074W,"RPS24A, RPS24EA, S000000876, ribosomal protein S24A",ribosomal protein S24A,,"cytosolic small ribosomal subunit (sensu the Eukaryota research community), mitochondrion",structural constituent of ribosome,RS24B,sce:YER074W,RS24B_YEAST,S000001331,856805
YER079W,S000000881,,biological_process,"cytoplasm, nucleus",molecular_function,YEQ9,sce:YER079W,YEQ9_YEAST,S000000881,856812
YER081W,"3-phosphoglycerate dehydrogenase, S000000883, SER3",3-phosphoglycerate dehydrogenase,serine family amino acid biosynthetic process,cytoplasm,phosphoglycerate dehydrogenase activity,SERA,sce:YER081W,SERA_YEAST,S000000883,856814
YER090W,"S000000892, TRP2, anthranilate synthase component I",anthranilate synthase component I,tryptophan biosynthetic process,"anthranilate synthase complex, cytoplasm",anthranilate synthase activity,TRPE,sce:YER090W,TRPE_YEAST,S000000892,856824
YER102W,"RPS8B, S000000904, ribosomal protein S8B (S14B) (rp19) (YS9)",ribosomal protein S8B (S14B) (rp19) (YS9),,cytosolic small ribosomal subunit (sensu the Eukaryota research community),structural constituent of ribosome,RS8A,sce:YER102W,RS8A_YEAST,S000000168,852206
YER102W,"RPS8B, S000000904, ribosomal protein S8B (S14B) (rp19) (YS9)",ribosomal protein S8B (S14B) (rp19) (YS9),,cytosolic small ribosomal subunit (sensu the Eukaryota research community),structural constituent of ribosome,RS8A,sce:YER102W,RS8A_YEAST,S000000168,856839
YER102W,"RPS8B, S000000904, ribosomal protein S8B (S14B) (rp19) (YS9)",ribosomal protein S8B (S14B) (rp19) (YS9),,cytosolic small ribosomal subunit (sensu the Eukaryota research community),structural constituent of ribosome,RS8B,sce:YER102W,RS8B_YEAST,S000000904,852206
YER102W,"RPS8B, S000000904, ribosomal protein S8B (S14B) (rp19) (YS9)",ribosomal protein S8B (S14B) (rp19) (YS9),,cytosolic small ribosomal subunit (sensu the Eukaryota research community),structural constituent of ribosome,RS8B,sce:YER102W,RS8B_YEAST,S000000904,856839
YER103W,"S000000905, SSA4, YG107",,"SRP-dependent cotranslational protein targeting to membrane, translocation, protein folding, response to stress","cytoplasm, nucleus","ATPase activity, unfolded protein binding",HSP74,sce:YER103W,HSP74_YEAST,S000000905,856840
YER110C,"KAP123, S000000912, YRB4, karyopherin beta 4",karyopherin beta 4,protein import into nucleus,"cytoplasm, nuclear pore, nucleus",protein carrier activity,IMB4,sce:YER110C,IMB4_YEAST,S000000912,856846
YER111C,"ART1, S000000913, SWI4, transcription factor",transcription factor,"G1/S transition of mitotic cell cycle, transcription",nucleus,"DNA binding, transcription factor activity",SWI4,sce:YER111C,SWI4_YEAST,S000000913,856847
YER112W,"LSM4, S000000914, SDB23, USS1",,"mRNA catabolic process, nuclear mRNA splicing, via spliceosome","U4/U6 x U5 tri-snRNP complex, nucleolus, small nucleolar ribonucleoprotein complex, snRNP U6","RNA binding, RNA splicing factor activity, transesterification mechanism",LSM4,sce:YER112W,LSM4_YEAST,S000000914,856848
YER116C,"S000000918, SLX8",,"protein sumoylation, response to DNA damage stimulus, telomere maintenance",cellular_component,molecular_function,SLX8,sce:YER116C,SLX8_YEAST,S000000918,856852
YER124C,"DSE1, S000000926",,cell wall organization and biogenesis,bud neck,molecular_function,DSE1,sce:YER124C,DSE1_YEAST,S000000926,856861
